,0,1,2,3,4,5
0,0.9164518950437318,0.02107083825265643,0.910433962264151,0.09025781250000002,0.0010999900009999002,0.0010999900009999002
1,1.001,0.001,1.001,0.001,0.001,0.001
2,0.001,1.001,0.001,1.001,1.001,1.001
3,0.22240284685302686,0.8097367178276269,0.3091761006289306,0.6922109375000002,0.8619139086091391,0.8170183981601841
4,0.9164518950437318,0.02107083825265643,0.910433962264151,0.09025781250000002,0.0010999900009999002,0.0010999900009999002
5,1.001,0.001,1.001,0.001,0.001,0.001
6,0.001,1.001,0.001,1.001,1.001,1.001
7,0.22240284685302686,0.8097367178276269,0.3091761006289306,0.6922109375000002,0.8619139086091391,0.8170183981601841
8,0.9164518950437318,0.02107083825265643,0.910433962264151,0.09025781250000002,0.0010999900009999002,0.0010999900009999002
9,1.001,0.001,1.001,0.001,0.001,0.001
10,0.001,1.001,0.001,1.001,1.001,1.001
11,0.22240284685302686,0.8097367178276269,0.3091761006289306,0.6922109375000002,0.8619139086091391,0.8170183981601841
12,0.9164518950437318,0.02107083825265643,0.910433962264151,0.09025781250000002,0.0010999900009999002,0.0010999900009999002
13,1.001,0.001,1.001,0.001,0.001,0.001
14,0.001,1.001,0.001,1.001,1.001,1.001
15,0.22240284685302686,0.8097367178276269,0.3091761006289306,0.6922109375000002,0.8619139086091391,0.8170183981601841
16,0.9164518950437318,0.02107083825265643,0.910433962264151,0.09025781250000002,0.0010999900009999002,0.0010999900009999002
17,1.001,0.001,1.001,0.001,0.001,0.001
18,0.001,1.001,0.001,1.001,1.001,1.001
19,0.22240284685302686,0.8097367178276269,0.3091761006289306,0.6922109375000002,0.8619139086091391,0.8170183981601841
20,0.9164518950437318,0.02107083825265643,0.910433962264151,0.09025781250000002,0.0010999900009999002,0.0010999900009999002
21,1.001,0.001,1.001,0.001,0.001,0.001
22,0.001,1.001,0.001,1.001,1.001,1.001
23,0.22240284685302686,0.8097367178276269,0.3091761006289306,0.6922109375000002,0.8619139086091391,0.8170183981601841
